EXE: ./bin/hw4, RANKS: 24, SIZE: 3000, GENS: 200, SEC: 0.083000, MEM: 375250 
EXE: ./bin/hw4, RANKS: 28, SIZE: 3000, GENS: 200, SEC: 0.192000, MEM: 324216 
EXE: ./bin/hw4, RANKS: 28, SIZE: 3000, GENS: 200, SEC: 0.077000, MEM: 324216 
EXE: ./bin/hw4, RANKS: 28, SIZE: 3000, GENS: 200, SEC: 0.077000, MEM: 324216 
EXE: ./bin/hw4, RANKS: 1, SIZE: 3500, GENS: 200, SEC: 2.079000, MEM: 12257000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 3500, GENS: 200, SEC: 2.075000, MEM: 12257000 
EXE: ./bin/hw4, RANKS: 1, SIZE: 3500, GENS: 200, SEC: 2.077000, MEM: 12257000 
EXE: ./bin/hw4, RANKS: 2, SIZE: 3500, GENS: 200, SEC: 1.079000, MEM: 6128500 
EXE: ./bin/hw4, RANKS: 2, SIZE: 3500, GENS: 200, SEC: 1.079000, MEM: 6128500 
EXE: ./bin/hw4, RANKS: 2, SIZE: 3500, GENS: 200, SEC: 1.077000, MEM: 6128500 
EXE: ./bin/hw4, RANKS: 4, SIZE: 3500, GENS: 200, SEC: 0.547000, MEM: 3064250 
EXE: ./bin/hw4, RANKS: 4, SIZE: 3500, GENS: 200, SEC: 0.553000, MEM: 3064250 
EXE: ./bin/hw4, RANKS: 4, SIZE: 3500, GENS: 200, SEC: 0.541000, MEM: 3064250 
EXE: ./bin/hw4, RANKS: 8, SIZE: 3500, GENS: 200, SEC: 0.304000, MEM: 1533876 
EXE: ./bin/hw4, RANKS: 8, SIZE: 3500, GENS: 200, SEC: 0.395000, MEM: 1533876 
EXE: ./bin/hw4, RANKS: 8, SIZE: 3500, GENS: 200, SEC: 0.292000, MEM: 1533876 
EXE: ./bin/hw4, RANKS: 12, SIZE: 3500, GENS: 200, SEC: 0.190000, MEM: 1022584 
EXE: ./bin/hw4, RANKS: 12, SIZE: 3500, GENS: 200, SEC: 0.222000, MEM: 1022584 
EXE: ./bin/hw4, RANKS: 12, SIZE: 3500, GENS: 200, SEC: 0.190000, MEM: 1022584 
EXE: ./bin/hw4, RANKS: 16, SIZE: 3500, GENS: 200, SEC: 0.146000, MEM: 766938 
EXE: ./bin/hw4, RANKS: 16, SIZE: 3500, GENS: 200, SEC: 0.150000, MEM: 766938 
EXE: ./bin/hw4, RANKS: 16, SIZE: 3500, GENS: 200, SEC: 0.163000, MEM: 766938 
EXE: ./bin/hw4, RANKS: 20, SIZE: 3500, GENS: 200, SEC: 0.162000, MEM: 612850 
EXE: ./bin/hw4, RANKS: 20, SIZE: 3500, GENS: 200, SEC: 0.161000, MEM: 612850 
EXE: ./bin/hw4, RANKS: 20, SIZE: 3500, GENS: 200, SEC: 0.128000, MEM: 612850 
EXE: ./bin/hw4, RANKS: 24, SIZE: 3500, GENS: 200, SEC: 0.113000, MEM: 511292 
EXE: ./bin/hw4, RANKS: 24, SIZE: 3500, GENS: 200, SEC: 0.114000, MEM: 511292 
EXE: ./bin/hw4, RANKS: 24, SIZE: 3500, GENS: 200, SEC: 0.159000, MEM: 511292 
EXE: ./bin/hw4, RANKS: 28, SIZE: 3500, GENS: 200, SEC: 0.147000, MEM: 437750 
EXE: ./bin/hw4, RANKS: 28, SIZE: 3500, GENS: 200, SEC: 0.142000, MEM: 437750 
EXE: ./bin/hw4, RANKS: 28, SIZE: 3500, GENS: 200, SEC: 0.218000, MEM: 437750 
